MWSC,Name,Type_n_Type,RAhour,RA,DEC,GLON,GLAT,r0,r1,r2,pmRA,pmDE,e_pm,RV,e_RV,o_RV,N1sr0,N1sr1,N1sr2,d,E(B-V),MOD,E(J-Ks),E(J-H),dH,logt,e_logt,Nt,rc,e_rc,rt,e_rt,k,e_k,Src,SType,[Fe/H],e_[Fe/H],o_[Fe/H]
2228,IC_1023,ro,14.539,218.08499336242676,-35.82,324.925,22.709,0.025,0.085,0.135,2.48,-0.34,1.23,999.99,99.99,0,3,17,32,1298.0,0.104,10.6,0.05,0.033,-0.03,9.48,0.001,2,1.12,0.29,6.07,1.51,4.43,0.78,DREM,ast,99.999,9.99,-
2231,FSR_1695,ro,14.5606,218.40900421142578,-49.165,319.587,10.377,0.018,0.07,0.115,-4.05,-0.68,0.94,999.99,99.99,0,3,27,60,1667.0,0.281,11.2,0.135,0.09,-0.02,9.38,0.12,3,0.88,0.35,7.5,3.15,2.5,0.71,FPOS,-,99.999,9.99,-
2294,ESO_329-02,ro,15.4589,231.88350677490234,-41.05,332.069,12.83,0.02,0.065,0.095,-6.52,-1.75,0.93,999.99,99.99,0,6,29,45,1546.0,0.167,11.0,0.08,0.053,0.0,9.3,0.0,-1,0.85,0.25,5.79,1.62,3.64,0.82,DIAS,non,99.999,9.99,-
2299,ESO_099-06,ro,15.4967,232.45050430297852,-64.85,318.762,-6.962,0.02,0.065,0.105,-2.04,-3.62,1.08,999.99,99.99,0,5,25,57,1274.0,0.229,10.6,0.11,0.073,0.0,8.9,0.0,-1,0.95,0.33,4.23,1.26,4.08,1.05,DIAS,-,99.999,9.99,-
2323,NGC_5998,ro,15.824,237.36000537872314,-28.583,343.793,19.838,0.022,0.09,0.14,-4.83,-3.12,0.51,999.99,99.99,0,3,26,55,4853.0,0.062,13.45,0.03,0.02,0.01,9.5,0.0,-1,2.11,0.91,24.19,11.48,0.43,0.15,DIAS,non,99.999,9.99,-
2349,Dolidze_50,ro,16.0935,241.40250205993652,-20.485,352.681,23.109,0.012,0.078,0.125,-2.18,-3.0,0.65,999.99,99.99,0,2,16,29,1546.0,0.479,11.1,0.23,0.153,0.0,9.4,0.0,-1,0.66,0.35,5.78,3.27,3.95,1.4,DREM,ast,99.999,9.99,-
2401,ESO_137-23,ro,16.4085,246.12751007080078,-61.733,325.501,-8.595,0.018,0.08,0.13,-0.19,-4.71,0.87,999.99,99.99,0,3,29,85,1561.0,0.104,11.001,0.05,0.033,0.0,9.55,0.0,-1,0.6,0.29,5.38,2.61,3.94,1.58,DIAS,dub,99.999,9.99,-
2417,FSR_1761,ro,16.4858,247.28699684143066,-27.961,350.72,14.099,0.025,0.09,0.18,-5.27,-6.44,0.49,999.99,99.99,0,6,30,107,7468.0,0.416,14.5,0.2,0.133,0.0,9.6,0.0,-1,4.76,1.57,29.96,9.86,0.21,0.05,FPOS,-,99.999,9.99,-
2421,FSR_1772,ro,16.5175,247.76249885559082,-24.275,353.885,16.207,0.025,0.23,0.4,-1.08,-1.04,0.25,999.99,99.99,0,6,118,194,4350.0,0.645,13.4,0.31,0.207,0.0,9.4,0.0,-1,10.4,1.28,40.78,4.18,1.69,0.14,FPOS,-,99.999,9.99,-
2429,Dolidze_27,ro,16.607,249.10500526428223,-8.935,7.612,24.695,0.025,0.125,0.225,-1.79,-2.26,0.49,999.99,99.99,0,3,28,77,2107.0,0.874,11.9,0.42,0.28,0.03,8.97,0.0,-1,4.24,4.73,15.43,14.13,0.1,0.09,DIAS,-,99.999,9.99,-
