col0,ID,RA,dec,Av,DM0,Fe_H,logt,CampaignLength_u,CampaignLength_g,CampaignLength_r,CampaignLength_i,CampaignLength_z,CampaignLength_y,Coaddm5_u,Coaddm5_g,Coaddm5_r,Coaddm5_i,Coaddm5_z,Coaddm5_y,CrowdingM5_u,CrowdingM5_g,CrowdingM5_r,CrowdingM5_i,CrowdingM5_z,CrowdingM5_y,InterNightGaps_u,InterNightGaps_g,InterNightGaps_r,InterNightGaps_i,InterNightGaps_z,InterNightGaps_y,IntraNightGaps_u,IntraNightGaps_g,IntraNightGaps_r,IntraNightGaps_i,IntraNightGaps_z,IntraNightGaps_y,Uniformity_u,Uniformity_g,Uniformity_r,Uniformity_i,Uniformity_z,Uniformity_y,Parallax_u,Parallax_g,Parallax_r,Parallax_i,Parallax_z,Parallax_y,ProperMotion_u,ProperMotion_g,ProperMotion_r,ProperMotion_i,ProperMotion_z,ProperMotion_y,NinGaia,Mtot,Nexpected_u,Nexpected_g,Nexpected_r,Nexpected_i,Nexpected_z,Nexpected_y
2034,vdBergh-Hagen_231,262.98749999999995,-31.91,2.7094,12.5,99.999,8.45,10.0,10.0,10.0,10.0,10.0,10.0,25.37013397643147,27.246283842258624,26.849891325956122,26.248040001784755,25.59689311283693,23.982240847378627,27.999999999999954,27.999999999999954,27.999999999999954,27.999999999999954,27.999999999999954,27.999999999999954,35.9051032104544,10.213573691064084,8.000544281116163,9.740624639365706,10.05445431091357,28.05967843793769,0.02990944290650077,0.05403111549094319,0.05288043097243644,0.07278199482243508,0.06778592860791832,0.5390515273902565,0.17128963501989408,0.10101138956863838,0.09818061570697817,0.07966082842600955,0.07039187387124335,0.1548890617566317,4.417120528447177,1.0606638490880322,1.0630544669416444,1.2787086187613204,1.8022192451785841,7.133241446361122,0.9148369079195724,0.2928460745126602,0.2885599874764723,0.33879184604551205,0.43961958993961053,1.6622592469031698,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2035,FSR_0027,263.025,-17.883,3.0349,12.5,99.999,9.2,10.0,10.0,10.0,10.0,10.0,10.0,25.42738017300257,27.26842162637109,26.87855564372238,26.271918113763228,25.64537172990375,23.90437054705863,21.799999999999976,24.599999999999966,24.399999999999967,24.599999999999966,24.399999999999967,22.99999999999997,24.002371636321186,5.881384309941495,5.98094616378512,9.083992752115591,8.960291111317929,54.68481502204668,0.025389480404555798,0.03276955275214277,0.0334776378585957,0.021621049381792545,0.043044550402555615,0.34422910306602716,0.2845234234621608,0.0830857827101203,0.07219218263951575,0.09004538702124147,0.08412932994837917,0.19632451297067754,3.6288318599704046,1.0908315345940827,1.0736683657483033,1.2604463344870436,1.647903445785097,7.74340633431394,0.7334755137022128,0.26141317225607924,0.2696505604722724,0.31720513427467584,0.41265457826399043,1.4571369644208145,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2036,FSR_0002,263.13300000000004,-27.075,6.1318,13.5,99.999,9.55,10.0,10.0,10.0,10.0,10.0,10.0,25.300408885746624,27.217220486289015,26.841746422894275,26.23734144543899,25.58450205567478,23.998593405299328,21.999999999999975,22.99999999999997,22.99999999999997,22.99999999999997,22.99999999999997,22.99999999999997,30.926625905682158,7.544963819884288,7.9464081327896565,8.980648219050636,12.488296416213416,28.916326956881676,3.5451262713759206,0.1399110301863402,0.1122317400877364,0.0965766828157939,0.13292264845222235,0.28944424143992364,0.17610625600329535,0.0635235576265851,0.05523224403697401,0.09303489424700562,0.07848681078333036,0.2422622736907512,4.2778729366831945,1.1109109797113428,1.0949355181536937,1.3213941625144687,1.8206517700219895,6.669934326608731,0.9520654233770067,0.2885209489627481,0.28277026875916955,0.328620620053501,0.43174807285631955,1.3877250444987728,0,nan,nan,nan,nan,nan,nan,nan
2037,Antalova_4,263.1825,-32.955,3.0969,11.6,99.999,6.0,10.0,10.0,10.0,10.0,10.0,10.0,25.43341168549854,27.214764319339086,26.896374814038012,26.31185902841476,25.65328131883565,23.994907440277533,27.999999999999954,27.999999999999954,27.999999999999954,27.999999999999954,27.999999999999954,27.999999999999954,31.857871449425147,9.511525621895998,6.189001310231106,9.74196353694424,10.009738098553498,32.50975680294869,0.044807341910200194,0.11044613330159336,0.06528289150446653,0.022629937157034874,0.045243572210893035,0.546596240485087,0.13185740440446617,0.06421723879365493,0.05469511569516903,0.05641561309260255,0.058828030590295975,0.16273257090504423,3.934245640275738,1.0909813618296358,1.0788459831849033,1.2994990804798423,1.682872498784141,6.861304722328817,0.7599978992463812,0.282885450720882,0.26090045996860217,0.3187916706386386,0.4048158800676988,1.5600173031145754,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2038,BDSB_102,263.235,-32.57,4.6779,12.75,99.999,6.3,10.0,10.0,10.0,10.0,10.0,10.0,25.477276406213317,27.229199193033097,26.859010176253175,26.27524413988342,25.641510791913355,23.931506178571023,27.999999999999954,27.999999999999954,27.999999999999954,27.999999999999954,27.999999999999954,27.999999999999954,31.76531811822133,9.155657177630928,9.00081302288163,9.872142505450029,10.129499552167545,31.44047525113274,0.11081521338201128,0.04312662285519764,0.04321849445113912,0.04580571624683216,0.03395424134214409,0.5451526577817276,0.16837951022810807,0.05716170510497872,0.07609127124849883,0.06276031822192787,0.06669858976805366,0.13481869140065075,3.623198259401952,1.0521417313211303,1.0850038488455493,1.2945626921877287,1.6891383445776982,7.2259848870220225,0.7561213603577891,0.2841980135481964,0.274727039390466,0.3244965603491698,0.40959659727171704,1.48776981536806,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039,IRAS_17301-2917,263.3325,-29.165,7.4865,11.2,99.999,7.2,10.0,10.0,10.0,10.0,10.0,10.0,25.47129614221065,27.245916508323674,26.82680937323955,26.249902375191326,25.60118404866529,23.93807997262897,20.79999999999998,21.999999999999975,21.999999999999975,21.999999999999975,21.999999999999975,21.799999999999976,30.113513741431234,7.1246287729009055,6.202816893579438,10.01142030239862,11.96365372166838,35.106671465306135,0.02501464929082431,0.10764520789962262,0.10731688071973622,0.0754109502886422,0.17250758176669478,0.5386459360015579,0.20178244313196222,0.05496726139259303,0.08299693840144254,0.10080447339291189,0.09493973940000637,0.15465831334286614,3.6846171888450887,1.0601826391137326,1.0792458027119827,1.2623418411264709,1.7810472177888692,7.170722919975584,0.7653954090387209,0.2723744444911621,0.2767616930362716,0.3367411161547335,0.4544760849150992,1.5496879116218794,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2040,Terzan-Ju_20,263.3745,-29.323,6.7766,13.0,99.999,8.8,10.0,10.0,10.0,10.0,10.0,10.0,25.443813754259445,27.22922143681856,26.84499835433636,26.253020019740063,25.591889865201654,23.995046862911217,20.79999999999998,21.999999999999975,21.999999999999975,21.999999999999975,21.999999999999975,21.799999999999976,30.873849541399977,7.992447004689893,7.9166007772837474,10.97009236944723,11.137245509955392,32.96351826364844,0.0296902148402296,0.04333966237027198,0.043692299514077604,0.0330556534754578,0.08910008490784094,0.26442846067948267,0.24856630088535817,0.06634371303151189,0.07745614828313582,0.08145790654995112,0.09051275855925271,0.18820747407954372,3.8439439621310783,1.0801947308855016,1.0860670203107807,1.2951620353527586,1.813400745226595,6.781024704002371,0.8111004705389446,0.2760231929868297,0.274152072370644,0.326623583960963,0.4518124658846359,1.516613506358399,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2041,FSR_1766,263.64,-36.65,3.4193000000000002,13.1,99.999,9.125,10.0,10.0,10.0,10.0,10.0,10.0,25.305185885301444,27.252966896892655,26.92127395845402,26.28141176177988,25.598151769987666,24.115546597832086,20.59999999999998,21.599999999999977,21.799999999999976,21.799999999999976,21.599999999999977,21.599999999999977,44.41841465303878,8.985491195831855,6.528010527152219,8.923492838417587,11.086346477612096,33.83701293638296,0.10364268586272374,0.03855556724010967,0.09755475714337081,0.0388222647306975,0.03859344933880493,0.5428871446056291,0.25273215705867697,0.06506363659325147,0.06662878148260853,0.058886210811460005,0.05966601916181719,0.19507709980595941,4.049290109474771,1.0450004207073371,1.0539402151520438,1.3163903690675185,1.7668147497199826,6.017811284372557,0.8589085519397519,0.27583040763760946,0.27207602041549944,0.32389974830200624,0.4343932639085302,1.292613282609146,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2042,NGC_6383,263.685,-32.577,1.2896,10.501,99.999,6.6,10.0,10.0,10.0,10.0,10.0,10.0,25.46992728172536,27.216847952319796,26.854416001186557,26.26819212962724,25.634728067361348,23.891712680924865,27.999999999999954,27.999999999999954,27.999999999999954,27.999999999999954,27.999999999999954,27.999999999999954,25.74173180013895,9.155657177630928,8.056534480536357,9.942342028487474,10.936331887602137,45.861659997390234,0.1357365109724924,0.05551155813736841,0.05704144632909447,0.034049036039505154,0.060513894277391955,0.154031602491159,0.21051048879871578,0.05716170510497872,0.08446549425869816,0.05441366936604899,0.05719300895981107,0.12935714686301475,3.7113105494503413,1.0661749934055216,1.0801045570405852,1.28424069808187,1.712554349524144,7.541122984224449,0.7270628571800779,0.2809734477993937,0.2784033102838437,0.32898896300012814,0.4133044713542396,1.558901089671321,137,793.4104562851702,151.6159777333583,382.54285149789484,569.7877191811951,1126.5873091930016,1111.5204446281462,1091.41542366588
2043,Ruprecht_126,263.754,-34.30500000000001,2.5823,12.1,99.999,8.875,10.0,10.0,10.0,10.0,10.0,9.0,25.3528035673354,27.231974543811702,26.871525707486875,26.267932418545307,25.653036925767484,24.035892413128725,23.39999999999997,24.799999999999965,24.799999999999965,24.799999999999965,24.599999999999966,24.599999999999966,31.901707212360634,7.998868417515041,8.998547532934026,8.999498157434573,10.99303044295084,38.05705056129227,0.11358242703136057,0.039029068109812215,0.20797132878215052,0.06790874741273001,0.05452445789705962,0.23255736246937886,0.2035782886696086,0.06125185090187216,0.06746636836992961,0.06288441037950204,0.09375875080153653,0.2506322895982114,4.097156648770656,1.06219651282934,1.060209275795496,1.2926810769705341,1.6604652241508633,6.543685889501277,0.8212424132218783,0.2867539738523906,0.28380037806258396,0.33246212845259704,0.42566173932546714,1.432656556477304,66,1501.7693573519343,185.347202704277,387.8229259199929,540.3215970816525,789.3750273048973,1010.7358305785724,1153.6141672370356
