Cluster,RA,DEC,GAL_L,GAL_B,R_Sun,DR_Sun,R_GC,DR_GC,Mass,DMass,V_mag,DV_mag,M/L_V,DM/L_V,rc,rh_l,rh_m,rt,rho_c,rho_h_m,RV,ERV,sig0,mualpha,emualpha,mu_delta,emudelta,rhopmrad,sig_c,sig_h_m,Trh,MF,F_REM,vesc,etac,etah,A_Rot,DA_Rot,P_Rot,X,DX,Y,DY,Z,DZ,U,DU,V,DV,W,DW,RPERI,ERPERI,RAPO,ERAPO,[Fe/H],E(B-V),V_HB,V_t,M_V_t,U-B,B-V,V-R,V-I,spt,ellip,v_r,ev_r,v_LSR,sig_v,esig_v,c,coll,r_c,r_h
NGC_6256,254.88611,-37.12097,347.792,3.307,7.24,0.29,1.94,0.11,125000.0,3170.0,10.56,0.12,2.11,0.22,0.04,2.97,4.82,30.17,6.21,2.13,-99.75,0.66,5.4,-3.715,0.031,-1.637,0.03,-0.0,5.22,3.03,9.15,-0.63,0.62,20.9,-0.38,-0.12,,,,1.11,0.29,-1.53,0.06,0.42,0.02,115.93,0.68,153.98,1.04,67.14,1.06,1.4,0.26,2.17,0.06,-1.02,1.09,19.09,11.29,-7.15,1.03,1.69,,,,,-101.4,1.9,-95.6,6.6,2.6,2.5,c,0.02,0.86
Pal_15,254.9626,-0.539,18.849,24.337,44.1,1.14,37.28,1.1,50900.0,10000.0,13.55,0.07,3.5,0.71,14.29,20.13,26.86,116.85,-0.15,-0.5,72.27,1.74,1.3,-0.592,0.037,-0.901,0.034,0.02,1.4,1.18,10.1,-0.25,0.55,4.2,-0.11,-0.03,,,,-29.85,0.98,12.98,0.33,18.17,0.47,-141.52,3.95,58.91,7.03,47.82,6.87,2.03,0.6,49.76,1.6,-2.07,0.4,20.0,14.0,-5.51,,,,,,,68.9,1.1,82.9,,,0.6,,1.2,1.1
NGC_6266,255.30415,-30.11339,353.575,7.318,6.41,0.1,2.15,0.08,610000.0,4500.0,6.6,0.07,1.99,0.11,0.39,1.79,2.43,46.33,5.15,3.71,-73.98,0.67,15.3,-4.978,0.026,-2.947,0.026,0.01,5.15,4.29,8.91,0.21,0.62,60.3,-0.37,-0.08,6.22,1.53,100.0,1.86,0.1,-0.71,0.01,0.82,0.01,88.42,0.67,99.48,0.8,63.38,0.8,0.86,0.05,2.42,0.06,-1.18,0.47,16.25,6.45,-9.18,0.52,1.19,0.74,1.58,F9,0.01,-70.1,1.4,-62.3,14.3,0.4,1.71,c:,0.22,0.92
NGC_6273,255.65749,-26.26797,356.869,9.382,8.34,0.16,1.43,0.03,697000.0,36100.0,6.88,0.06,2.25,0.14,1.01,3.15,4.21,38.77,4.15,3.05,145.54,0.59,12.1,-3.249,0.026,1.66,0.025,0.0,4.54,3.88,9.3,0.33,0.68,46.0,-0.3,-0.04,4.19,1.12,100.0,-0.04,0.16,-0.45,0.01,1.36,0.03,-130.01,0.6,221.69,1.0,171.36,1.0,1.21,0.05,3.28,0.1,-1.74,0.38,16.44,6.77,-9.13,0.35,1.03,0.66,1.35,F7,0.27,135.0,4.1,143.8,,,1.53,,0.43,1.32
NGC_6284,256.12011,-24.7648,358.347,9.939,14.21,0.42,6.32,0.4,129000.0,23300.0,9.31,0.12,1.33,0.26,0.47,2.93,3.78,64.43,4.22,2.45,28.62,0.73,5.9,-3.2,0.029,-2.002,0.028,-0.0,4.26,3.23,8.89,1.01,0.65,23.4,-0.35,-0.04,,,,-5.81,0.41,-0.4,0.01,2.45,0.07,-16.21,0.79,15.89,1.89,105.03,1.89,0.99,0.05,6.43,0.42,-1.26,0.28,17.4,8.83,-7.96,0.4,0.99,0.65,1.31,F9,0.03,27.5,1.7,36.7,6.3,0.9,2.5,c,0.07,0.66
NGC_6287,256.2889,-22.70801,0.132,11.023,7.93,0.37,1.57,0.04,145000.0,18200.0,9.26,0.08,2.82,0.4,0.21,1.95,3.65,23.74,4.95,2.57,-294.74,1.65,6.3,-5.01,0.029,-1.883,0.028,0.01,4.66,3.32,9.01,-0.62,0.61,26.1,-0.39,-0.13,,,,0.4,0.36,0.02,0.0,1.52,0.07,299.1,1.63,83.94,1.06,60.15,1.1,0.88,0.08,4.16,0.13,-2.1,0.6,17.2,9.35,-7.36,0.52,1.2,0.83,1.74,F5,0.13,-288.7,3.5,-279.1,,,1.38,,0.29,0.74
NGC_6293,257.5425,-26.58208,357.62,7.834,9.19,0.28,1.6,0.18,205000.0,16000.0,8.4,0.11,2.55,0.33,0.13,2.36,4.05,26.3,5.56,2.58,-143.66,0.39,7.5,0.87,0.028,-4.326,0.028,-0.01,5.02,3.39,9.16,-0.82,0.69,30.3,-0.39,-0.12,,,,-0.92,0.28,-0.38,0.01,1.25,0.04,117.36,0.43,126.51,1.21,-151.82,1.2,0.47,0.15,2.74,0.38,-1.99,0.36,16.5,8.22,-7.78,0.29,0.96,0.63,1.28,F3,0.03,-146.2,1.7,-137.4,7.7,1.3,2.5,c,0.05,0.89
NGC_6304,258.6344,-29.46203,355.826,5.376,6.15,0.15,2.19,0.13,126000.0,11400.0,8.18,0.08,1.57,0.17,0.22,1.95,4.26,29.65,4.94,2.3,-108.62,0.39,5.5,-4.07,0.029,-1.088,0.028,0.01,4.58,3.13,9.1,-0.76,0.06,21.3,-0.35,-0.11,1.3,0.91,89.4,2.07,0.15,-0.45,0.01,0.58,0.01,110.97,0.4,166.29,0.83,75.12,0.82,1.55,0.12,2.69,0.11,-0.45,0.54,16.25,8.22,-7.3,0.82,1.31,0.77,1.7,G3,0.02,-107.3,3.6,-99.3,,,1.8,,0.21,1.42
NGC_6316,259.15542,-28.14011,357.175,5.764,11.15,0.39,3.16,0.36,318000.0,39400.0,9.01,0.19,2.59,0.52,0.6,2.98,4.77,52.51,4.31,2.56,99.65,0.84,8.2,-4.969,0.031,-4.592,0.03,0.01,4.45,3.43,9.27,-0.28,0.6,32.7,-0.36,-0.07,,,,-2.9,0.38,-0.55,0.02,1.12,0.04,-85.29,0.85,-101.38,1.61,92.77,1.62,0.9,0.2,3.92,0.46,-0.45,0.54,17.5,8.43,-8.34,0.62,1.39,0.85,1.8,G2,0.04,71.4,8.9,79.9,,,1.65,,0.17,0.65
NGC_6341,259.28076,43.13594,68.338,34.859,8.5,0.07,9.85,0.04,352000.0,4190.0,6.51,0.05,2.16,0.07,0.78,2.39,4.49,120.87,4.11,2.67,-120.55,0.27,8.4,-4.935,0.024,-0.625,0.024,-0.0,4.34,3.53,9.39,-1.15,0.57,32.8,-0.34,-0.13,1.46,0.61,99.9,5.6,0.02,6.48,0.05,4.86,0.04,23.15,0.92,39.51,0.66,98.32,0.82,1.03,0.04,10.6,0.06,-2.31,0.02,15.1,6.44,-8.21,0.01,0.63,,0.88,F2,0.1,-120.0,0.1,-103.5,6.0,0.4,1.68,,0.26,1.02
NGC_6325,259.49633,-23.76768,0.971,8.003,7.53,0.32,1.28,0.13,58900.0,2040.0,10.9,0.09,2.09,0.11,0.31,1.7,2.05,16.06,4.54,2.91,29.54,0.58,5.3,-8.289,0.03,-9.0,0.029,0.02,4.37,3.43,8.24,1.32,0.72,20.9,-0.34,-0.05,,,,0.72,0.32,0.13,0.01,1.05,0.04,-38.96,0.59,-179.8,1.06,73.37,1.06,1.04,0.03,1.31,0.13,-1.25,0.91,17.9,10.33,-6.96,0.85,1.66,,2.15,G0,0.12,29.8,1.8,39.3,5.9,1.3,2.5,c,0.03,0.63
NGC_6333,259.79909,-18.51626,5.544,10.705,8.3,0.14,1.73,0.02,323000.0,24700.0,7.65,0.05,2.14,0.18,0.91,2.73,4.17,33.98,3.86,2.73,310.75,2.12,8.3,-2.18,0.026,-3.222,0.026,0.02,4.23,3.56,9.22,-0.42,0.57,31.8,-0.35,-0.11,,,,0.06,0.14,0.79,0.01,1.54,0.03,-329.54,2.08,129.38,1.04,66.37,1.09,1.22,0.03,6.16,0.12,-1.77,0.38,16.2,7.72,-7.95,0.32,0.97,0.63,1.33,F5/6,0.04,229.1,7.0,239.8,,,1.25,,0.45,0.96
